name,role,country,base_price,batting_score,bowling_score,overall_score,is_overseas
David Miller,BAT,South Africa,9.0,86.0,14.0,79.5,True
Keshav Maharaj,BOWL,South Africa,6.0,8.0,84.0,74.5,True
Prithvi Shaw,BAT,India,6.0,82.0,10.0,75.5,False
Ruturaj Gaikwad,BAT,India,7.0,83.0,12.0,76.5,False
Deepak Chahar,BOWL,India,7.0,15.0,85.0,77.0,False
Harshal Patel,BOWL,India,7.0,12.0,86.0,77.5,False
Avesh Khan,BOWL,India,6.0,8.0,83.0,74.0,False
Ravi Bishnoi,BOWL,India,5.0,6.0,82.0,72.5,False
Tilak Varma,BAT,India,5.0,80.0,10.0,73.5,False
Shivam Dube,AR,India,6.0,72.0,70.0,72.5,False
Rinku Singh,BAT,India,5.0,78.0,8.0,71.5,False
Yashasvi Jaiswal,BAT,India,6.0,81.0,10.0,74.5,False
Abhishek Sharma,AR,India,5.0,75.0,68.0,73.0,False
Rahul Tripathi,BAT,India,6.0,79.0,12.0,73.5,False
Sanju Samson,WK,India,8.0,86.0,8.0,79.0,False
Devdutt Padikkal,BAT,India,5.0,77.0,10.0,71.0,False
Nitish Rana,BAT,India,6.0,80.0,14.0,74.0,False
Venkatesh Iyer,AR,India,6.0,74.0,72.0,74.5,False
Krunal Pandya,AR,India,7.0,68.0,76.0,74.5,False
Rahul Chahar,BOWL,India,5.0,6.0,81.0,71.5,False
Prasidh Krishna,BOWL,India,6.0,8.0,84.0,74.5,False
Umran Malik,BOWL,India,6.0,6.0,85.0,75.0,False
Mukesh Kumar,BOWL,India,4.0,8.0,80.0,70.0,False
Khaleel Ahmed,BOWL,India,5.0,8.0,82.0,72.5,False
T Natarajan,BOWL,India,6.0,10.0,83.0,74.0,False
Rashid Khan,BOWL,Afghanistan,12.0,18.0,95.0,87.5,True
Mujeeb Ur Rahman,BOWL,Afghanistan,6.0,8.0,84.0,75.0,True
Fazalhaq Farooqi,BOWL,Afghanistan,5.0,6.0,82.0,72.5,True
Wanindu Hasaranga,AR,Sri Lanka,8.0,65.0,88.0,80.0,True
Maheesh Theekshana,BOWL,Sri Lanka,6.0,8.0,83.0,74.0,True
Pathum Nissanka,BAT,Sri Lanka,5.0,78.0,10.0,71.5,True
Dasun Shanaka,AR,Sri Lanka,6.0,70.0,74.0,73.5,True
Matheesha Pathirana,BOWL,Sri Lanka,5.0,6.0,84.0,73.5,True
Shakib Al Hasan,AR,Bangladesh,9.0,76.0,86.0,83.0,True
Mustafizur Rahman,BOWL,Bangladesh,7.0,8.0,87.0,77.5,True
Taskin Ahmed,BOWL,Bangladesh,6.0,8.0,84.0,74.5,True
Nicholas Pooran,WK,West Indies,9.0,88.0,8.0,80.5,True
Andre Russell,AR,West Indies,10.0,80.0,82.0,83.0,True
Sunil Narine,AR,West Indies,9.0,65.0,90.0,81.5,True
Jason Holder,AR,West Indies,8.0,68.0,84.0,79.0,True
Alzarri Joseph,BOWL,West Indies,7.0,10.0,86.0,77.0,True
Romario Shepherd,AR,West Indies,6.0,70.0,76.0,74.5,True
Akeal Hosein,BOWL,West Indies,6.0,8.0,83.0,74.0,True
Kyle Mayers,AR,West Indies,7.0,74.0,78.0,77.5,True
